,均值,标准差,中位数,最小值,最大值
duration_ms,-3.4837383361654505e-15,1.0000036784653248,-0.0329202650383317,-8.957197413186407,7.795927696459016
acousticness,1.03868136275745e-16,1.0000036784654134,-0.0032057398570489,-1.30936328227566,1.334809303596162
danceability,1.4817022258359296e-16,1.000003678465352,0.0562957133949776,-3.0682857575363296,2.565083755748581
energy,4.871922647659504e-16,1.0000036784653572,-0.0276746069619908,-1.8274963742707029,1.9143368217973056
instrumentalness,1.9011998572465253e-16,1.0000036784648905,0.0848358634912625,-1.36164432600333,1.326123232185097
liveness,3.1609995976820837e-16,1.000003678465295,-0.4039038501704485,-1.167309156057045,4.487544961621446
loudness,-2.6045444841162527e-16,1.0000036784653492,0.1575771548416312,-8.5946619706944,2.6907107800245385
speechiness,2.2686850097470222e-17,1.0000036784653523,-0.3267879532204518,-0.6274285590801965,5.839684918080532
tempo,-9.299517586036757e-16,1.000003678465343,-0.07122925828743,-3.807751191562136,4.143735052923193
valence,4.2733870863322367e-17,1.0000036784652997,0.0463185360630162,-2.0272712446797443,1.784474675803271
mode,0.7079976752227298,0.4546850426997125,1.0,0.0,1.0
key,-4.485096171343191e-17,1.0000036784647284,-0.0567846043122991,-1.478774455151998,1.6496032166953394
explicit,0.08465573432798487,0.27836973804013326,0.0,0.0,1.0
is_occur_mainSinger,0.8037623135947972,0.39715188182729205,1.0,0.0,1.0
singer_num,-1.528487319930943e-16,1.0000036784655293,-0.4607633529689622,-0.4607633529689622,7.449483584323778
name_len,-6.259270577583144e-16,1.0000036784653379,-0.0625889099405174,-4.345946120168881,3.865873390583853
is_featured,0.02048158202564612,0.14164121723216794,0.0,0.0,1.0
is_remixed,0.00570158982394962,0.07529358143000411,0.0,0.0,1.0
season_autumn,0.1502644801989303,0.35733178638557084,0.0,0.0,1.0
season_spring,0.11633450307885851,0.32062679671524486,0.0,0.0,1.0
season_summer,0.11773966908708351,0.32230079681596024,0.0,0.0,1.0
season_winter,0.3099825641704739,0.46248778111707445,0.0,0.0,1.0
era_RockBud,0.15840120064446359,0.3651181192917918,0.0,0.0,1.0
era_RockGolden,0.23517770568025484,0.42411139541199405,0.0,0.0,1.0
era_ElectroHipHop,0.23611203072237305,0.4246933795015773,0.0,0.0,1.0
era_DigitalGlobal,0.2450285815180207,0.43010572736896263,0.0,0.0,1.0
popularity,8.9283732641657e-17,1.0000036784654234,0.0668787744760364,-1.4625941983022763,3.172172385874429
